Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2017-02-20T00:00:00.0000000Z,2017-02-27T00:00:00.0000000Z,2017-02-20T00:41:25.9930000Z,2017-02-26T23:24:44.8100000Z,3.81,4,3.75005,3.89,45046.12967,2989
2017-02-13T00:00:00.0000000Z,2017-02-20T00:00:00.0000000Z,2017-02-13T00:36:42.1500000Z,2017-02-19T23:54:28.8520000Z,3.8,3.95,3.70101,3.77276,32581.80897,2200
2017-02-06T00:00:00.0000000Z,2017-02-13T00:00:00.0000000Z,2017-02-06T01:32:46.4980000Z,2017-02-12T23:41:34.8480000Z,3.94091,4.06,3.58,3.8,82045.44492,2999
2017-01-30T00:00:00.0000000Z,2017-02-06T00:00:00.0000000Z,2017-01-30T03:07:46.6900000Z,2017-02-05T23:31:46.3140000Z,3.89999,4.69,3.85625,3.94289,29351.27139,645
2017-01-23T00:00:00.0000000Z,2017-01-30T00:00:00.0000000Z,2017-01-23T03:06:40.8030000Z,2017-01-29T21:50:00.9430000Z,3.88969,3.968,3.66298,3.89,12603.8557,334
2017-01-16T00:00:00.0000000Z,2017-01-23T00:00:00.0000000Z,2017-01-16T04:46:06.5180000Z,2017-01-22T13:14:41.5540000Z,3.94271,4.02973,3.82451,3.82689,8888.67705,447
2017-01-09T00:00:00.0000000Z,2017-01-16T00:00:00.0000000Z,2017-01-09T00:32:17.3930000Z,2017-01-15T22:40:46.4910000Z,4,4.68,3.8,3.88552,22761.46294,876
2017-01-02T00:00:00.0000000Z,2017-01-09T00:00:00.0000000Z,2017-01-02T00:13:21.9300000Z,2017-01-08T22:18:41.6970000Z,4.47,5.99,3.63,4.03,48777.82762,3153
2016-12-26T00:00:00.0000000Z,2017-01-02T00:00:00.0000000Z,2016-12-26T00:30:47.5580000Z,2017-01-01T23:38:44.8000000Z,4.3,5,4.1,4.43,19392.1901,1682
2016-12-19T00:00:00.0000000Z,2016-12-26T00:00:00.0000000Z,2016-12-19T00:05:38.5910000Z,2016-12-25T22:57:01.2480000Z,3.71811,5.14,3.58075,4.3,35422.27372,2204
2016-12-12T00:00:00.0000000Z,2016-12-19T00:00:00.0000000Z,2016-12-12T00:04:01.0260000Z,2016-12-18T20:18:41.8170000Z,3.66,3.74671,3.5,3.71673,3450.102561,494
2016-12-05T00:00:00.0000000Z,2016-12-12T00:00:00.0000000Z,2016-12-05T00:20:18.9420000Z,2016-12-11T23:53:47.8450000Z,3.86561,3.9105,3.32,3.67,14617.6578,1650
2016-11-28T00:00:00.0000000Z,2016-12-05T00:00:00.0000000Z,2016-11-28T00:07:05.9960000Z,2016-12-04T23:51:53.7070000Z,3.89,3.98,3.51,3.87,5215.68689,1417
2016-11-21T00:00:00.0000000Z,2016-11-28T00:00:00.0000000Z,2016-11-21T00:07:27.5410000Z,2016-11-27T23:51:20.0780000Z,3.88,3.99,3.82675,3.89175,2820.893788,764
2016-11-14T00:00:00.0000000Z,2016-11-21T00:00:00.0000000Z,2016-11-14T00:25:06.5480000Z,2016-11-20T23:48:11.7490000Z,3.85,4.15,3.81,3.89,11394.24059,1298
2016-11-07T00:00:00.0000000Z,2016-11-14T00:00:00.0000000Z,2016-11-07T00:38:37.1410000Z,2016-11-13T23:51:33.3180000Z,3.9,3.99,3.6484,3.9,13447.93265,1794
2016-10-31T00:00:00.0000000Z,2016-11-07T00:00:00.0000000Z,2016-10-31T00:00:01.3720000Z,2016-11-06T23:56:50.3020000Z,3.92,4.5,3.38715,3.91,18873.44256,2267
2016-10-24T00:00:00.0000000Z,2016-10-31T00:00:00.0000000Z,2016-10-24T00:02:21.5780000Z,2016-10-30T23:58:17.6520000Z,3.88,4.25,3.76,3.95,13336.98434,3506
2016-10-17T00:00:00.0000000Z,2016-10-24T00:00:00.0000000Z,2016-10-17T00:41:57.3100000Z,2016-10-23T23:58:57.8580000Z,3.86,3.94,3.7,3.88,11711.2841,2119
2016-10-10T00:00:00.0000000Z,2016-10-17T00:00:00.0000000Z,2016-10-10T07:38:06.4370000Z,2016-10-16T23:08:16.9830000Z,3.80124,3.94,3.75,3.92236,5458.79609,1285
2016-10-03T00:00:00.0000000Z,2016-10-10T00:00:00.0000000Z,2016-10-03T00:03:52.2890000Z,2016-10-09T22:37:38.3070000Z,3.83,3.94,3.77124,3.8,14399.50676,1786
2016-09-26T00:00:00.0000000Z,2016-10-03T00:00:00.0000000Z,2016-09-26T00:26:33.4730000Z,2016-10-02T23:44:12.8720000Z,3.84,4,3.77124,3.83,7196.947779,1394
2016-09-19T00:00:00.0000000Z,2016-09-26T00:00:00.0000000Z,2016-09-19T00:50:12.9990000Z,2016-09-25T21:55:37.2600000Z,3.87,6.72,3.61,3.8,11632.59252,1808
2016-09-12T00:00:00.0000000Z,2016-09-19T00:00:00.0000000Z,2016-09-12T00:04:26.2310000Z,2016-09-18T21:40:00.9370000Z,3.93,4.02554,3.77,3.86699,5411.733041,1208
2016-09-05T00:00:00.0000000Z,2016-09-12T00:00:00.0000000Z,2016-09-05T02:03:29.6970000Z,2016-09-11T23:59:58.1610000Z,4.02636,4.04717,3.83538,3.93,3793.124657,2098
2016-08-29T00:00:00.0000000Z,2016-09-05T00:00:00.0000000Z,2016-08-29T11:09:20.5100000Z,2016-09-04T23:16:42.2120000Z,3.82119,4.044,3.38726,3.98,10472.57635,335
2016-08-22T00:00:00.0000000Z,2016-08-29T00:00:00.0000000Z,2016-08-22T00:37:34.5500000Z,2016-08-28T11:59:48.8200000Z,3.61068,4.04381,3.60824,3.72171,3520.152668,131
